model,sampling,accuracy
LogisticRegression,SimpleRandom,0.9377
DecisionTree,SimpleRandom,0.9688
RandomForest,SimpleRandom,0.9969
KNN,SimpleRandom,0.9688
SVM,SimpleRandom,0.7072
LogisticRegression,Systematic,0.941
DecisionTree,Systematic,0.9825
RandomForest,Systematic,0.9891
KNN,Systematic,0.9607
SVM,Systematic,0.6921
LogisticRegression,Stratified,0.9346
DecisionTree,Stratified,0.9813
RandomForest,Stratified,0.9969
KNN,Stratified,0.9657
SVM,Stratified,0.729
LogisticRegression,Cluster,0.9635
DecisionTree,Cluster,0.9867
RandomForest,Cluster,0.9967
KNN,Cluster,0.9734
SVM,Cluster,0.794
LogisticRegression,Convenience,0.9221
DecisionTree,Convenience,0.9813
RandomForest,Convenience,0.9969
KNN,Convenience,0.9626
SVM,Convenience,0.7165
