Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-1.359807134,-0.072781173,2.536346738,1.378155224,-0.33832077,0.462387778,0.239598554,0.098697901,0.36378697,0.090794172,-0.551599533,-0.617800856,-0.991389847,-0.311169354,1.468176972,-0.470400525,0.207971242,0.02579058,0.40399296,0.251412098,-0.018306778,0.277837576,-0.11047391,0.066928075,0.128539358,-0.189114844,0.133558377,-0.021053053,149.62,0
1,-0.966271712,-0.185226008,1.79299334,-0.863291275,-0.01030888,1.247203168,0.23760894,0.377435875,-1.387024063,-0.054951922,-0.226487264,0.178228226,0.50775687,-0.287923745,-0.631418118,-1.059647245,-0.684092786,1.965775003,-1.23262197,-0.208037781,-0.108300452,0.005273597,-0.190320519,-1.175575332,0.647376035,-0.221928844,0.062722849,0.061457629,123.5,0
2,-0.425965884,0.960523045,1.141109342,-0.16825208,0.420986881,-0.029727552,0.476200949,0.260314333,-0.568671376,-0.371407197,1.34126198,0.359893837,-0.358090653,-0.1371337,0.517616807,0.401725896,-0.058132823,0.068653149,-0.033193788,0.084967672,-0.208253515,-0.559824796,-0.026397668,-0.371426583,-0.232793817,0.105914779,0.253844225,0.081080257,3.67,0
7,-0.644269442,1.417963545,1.074380376,-0.492199018,0.948934095,0.428118463,1.120631358,-3.807864239,0.615374731,1.249376178,-0.619467796,0.291474353,1.757964214,-1.32386522,0.686132504,-0.076126999,-1.222127345,-0.35822157,0.324504731,-0.156741852,1.94346534,-1.01545471,0.05750353,-0.649709006,-0.415266566,-0.051634297,-1.206921081,-1.085339188,40.8,0
7,-0.894286082,0.286157196,-0.113192213,-0.27152613,2.66959866,3.721818061,0.370145128,0.851084443,-0.392047587,-0.410430433,-0.705116587,-0.110452262,-0.286253632,0.07435536,-0.32878305,-0.210077268,-0.499767969,0.118764861,0.570328167,0.052735669,-0.0734251,-0.268091632,-0.20423267,1.011591802,0.37320468,-0.384157308,0.011747356,0.14240433,93.2,0
9,-0.338261752,1.119593376,1.044366552,-0.222187277,0.499360806,-0.246761101,0.651583206,0.069538587,-0.736727316,-0.366845639,1.017614468,0.83638957,1.006843514,-0.443522817,0.150219101,0.739452777,-0.540979922,0.47667726,0.451772964,0.203711455,-0.246913937,-0.633752642,-0.120794084,-0.385049925,-0.069733046,0.094198834,0.246219305,0.083075649,3.68,0
11,1.069373588,0.287722129,0.828612727,2.71252043,-0.178398016,0.33754373,-0.096716862,0.115981736,-0.221082566,0.460230444,-0.773656931,0.323387245,-0.011075887,-0.178485175,-0.655564278,-0.199925171,0.124005415,-0.980496202,-0.982916082,-0.153197231,-0.036875532,0.074412403,-0.071407433,0.104743753,0.548264725,0.104094153,0.021491058,0.021293311,27.5,0
12,-2.791854766,-0.327770757,1.641750161,1.767472744,-0.136588446,0.807596468,-0.42291139,-1.907107476,0.755712908,1.151086988,0.844555471,0.792943952,0.370448093,-0.734975106,0.40679571,-0.303057624,-0.155868715,0.778265457,2.221868014,-1.582122044,1.151663048,0.222181966,1.020586204,0.028316651,-0.232746324,-0.235557218,-0.164777512,-0.030153637,58.8,0
12,-0.752417043,0.345485415,2.057322913,-1.468643298,-1.15839368,-0.077849829,-0.608581418,0.003603484,-0.436166984,0.747730827,-0.793980603,-0.770406729,1.047626997,-1.066603681,1.106953457,1.660113557,-0.279265373,-0.419994141,0.432535349,0.263450864,0.499624955,1.353650486,-0.25657328,-0.065083708,-0.039124354,-0.087086473,-0.1809975,0.129394059,15.99,0
12,1.103215435,-0.040296215,1.267332089,1.28909147,-0.735997164,0.288069163,-0.586056786,0.189379714,0.782332892,-0.267975067,-0.45031128,0.936707715,0.708380406,-0.468647288,0.354574063,-0.246634656,-0.009212378,-0.595912406,-0.575681622,-0.113910177,-0.024612006,0.196001953,0.013801654,0.103758331,0.364297541,-0.382260574,0.092809187,0.037050517,12.99,0
14,-5.401257663,-5.450147834,1.186304631,1.7362388,3.049105878,-1.763405574,-1.559737699,0.160841747,1.23308974,0.345172827,0.917229868,0.970116716,-0.266567765,-0.479129929,-0.526608503,0.472004112,-0.725480945,0.075081352,-0.406866573,-2.196848025,-0.503600329,0.984459786,2.458588576,0.042118897,-0.481630824,-0.621272014,0.39205329,0.949594246,46.8,0
15,1.492935977,-1.029345732,0.454794734,-1.43802588,-1.555434101,-0.720961147,-1.08066413,-0.053127118,-1.978681595,1.638076037,1.077542412,-0.632046515,-0.416957167,0.052010515,-0.042978923,-0.166432496,0.304241419,0.554432499,0.054229515,-0.387910173,-0.177649846,-0.175073809,0.040002219,0.295813863,0.332930599,-0.220384851,0.022298436,0.007602256,5.0,0
22,-1.946525131,-0.044900505,-0.405570068,-1.013057337,2.9419677,2.955053397,-0.063063147,0.855546309,0.0499669,0.573742508,-0.081256515,-0.215745003,0.044160628,0.033897757,1.190717675,0.578843475,-0.975667025,0.044062818,0.488602869,-0.216715254,-0.579525934,-0.799228953,0.870300215,0.983421493,0.321201133,0.149649877,0.707518836,0.014599752,0.89,0
22,-2.074294672,-0.121481799,1.32202063,0.410007514,0.295197546,-0.95953723,0.543985491,-0.104626728,0.475664018,0.149450615,-0.856566364,-0.180523156,-0.65523293,-0.279796856,-0.211667955,-0.33332061,0.010751094,-0.488472666,0.505751034,-0.386693573,-0.403639499,-0.227404004,0.742434864,0.398534855,0.249212161,0.274404274,0.359969356,0.243231672,26.43,0
